user_id,sequence,ground_truth
10006846375514930321,P-89479017|P-89479017|P-89479017,P-89479017
10006879074906146731,P-53560393|P-53560393|P-53560393|P-53557691|P-53557691,P-53560393
10006965464148392219,P-53552724|P-53552724|P-53552724|P-53552724|P-53552724,P-53552724
10007024608307990379,P-95956124|P-95956124,P-95956124
10007028888033598830,P-89992147|P-89992147|P-96312126|P-96312126,P-96312126
1000704208257655569,P-53557691|P-53557691|P-53557691|P-53557691|P-53557691,P-53557691
10007117812060803391,P-53563115|P-53563115,P-53563115
10007163683656048779,P-91858487|P-91858487,P-91858487
10007262249350836150,P-70967754|P-70967754|P-70967754,P-71427650
10007340926458375958,P-85259184|P-84157247,P-64335136
1000737225716573296,P-79316732|P-79316732|P-80166284|P-89232599|P-89232599|P-89232599|P-89232599|P-89232599|P-89232599|P-81290935|P-79316732|P-79316732,P-68658872
1000741648349463097,P-86370513|P-86370513|P-86370513|P-86370420|P-86370420|P-86370420|P-86370420|P-86370420|P-86370420,P-86370420
10007472030039374132,P-86637473|P-86637473|P-86637473,P-86637473
10007546343308846269,P-87680129|P-81011872|P-81011872|P-81011872|P-88949267,P-85931162
10007634580758949875,P-53563219|P-53563219,P-53563219
10007645687237867834,P-79125941|P-79125941,P-79125941
10007665902668360505,P-89478168|P-89478168,P-89478168
10007772952333556310,P-89314023|P-89314023,P-89314023
10007799628719298466,P-90543849|P-90543849|P-90543849|P-90543849|P-90543849|P-90543849|P-90543849|P-90543849|P-90543849|P-90543849|P-90543849|P-90543849|P-90543849|P-90543849,P-90543849
10007923003952843663,P-71470518|P-71470518|P-71470518|P-60439427|P-60439922,P-60439467
10008013674227150029,P-91858644|P-91858644|P-91858761|P-70339397|P-70339397|P-91858644|P-70339397|P-91858644|P-95886453|P-80274046|P-86453735|P-90246506|P-85322629|P-85322629|P-85322629,P-85322629
10008096923318002850,P-73570117|P-73570117|P-73570117|P-73570117|P-73570117,P-53557128
10008294574522327178,P-85875826|P-53561488,P-89137991
10008298068563785709,P-53562796|P-53562796|P-53562796|P-96060269|P-90528894|P-53562796,P-96060269
1000833178944550055,P-89454882|P-89454882,P-89454882
10008416087509485493,P-96060211|P-96060211|P-96060211|P-96060211|P-96060211,P-96060211
10008441413747216632,P-83666848|P-103292842|P-83666848|P-83666848|P-83666848|P-83666848|P-83666848,P-83666848
10008587389111003555,P-90275070|P-90275070|P-90275070|P-90275070|P-90275070,P-90275070
1000864464153746605,P-96312639|P-96312639,P-96312639
10008724028044845510,P-89300721|P-89300721|P-89300721,P-90539040
10008729635038256070,P-53562795|P-53562795|P-53562795,P-53562795
10008752120849451535,P-89786157|P-89786157,P-89786157
10008814214724544690,P-68224542|P-68224647|P-89790878|P-89790874|P-89790876,P-89790877
10008925731628992366,P-70975620|P-70975620|P-70975620,P-70975620
10008957653618264351,P-60440731|P-60440731,P-60440731
10009000479137344016,P-60440630|P-60440630,P-60440630
10009137942473658243,P-90528894|P-90528894|P-90528894|P-90528894|P-96060269|P-96060269|P-96060269|P-90528894|P-96060269,P-96060269
10009351159747859448,P-61983464|P-61983464,P-61983464
10009362230950485097,P-53562553|P-53562553|P-53562553,P-53562553
10009389689186816639,P-95909185|P-95909185|P-95909185|P-95909185|P-95909185,P-95909185
10009398828347308027,P-90534639|P-90534639|P-89300721|P-90534639|P-90534639,P-90534639
100094598788285242,P-89992176|P-89992176|P-89992176|P-89992176|P-89992176|P-89992176|P-89992176|P-89992176|P-89992176|P-89992176|P-89992155|P-89992155|P-89992155|P-98291184|P-90019903|P-90020028|P-90020028|P-96312642|P-79474004|P-77161391|P-101700679|P-90020028|P-90020028,P-90020028
10009596587882351506,P-89487703|P-89487703,P-89487703
10009609944702373608,P-59391290|P-59391290|P-59391290|P-59391290|P-59391290,P-59391290
10009612831021357927,P-101516299|P-101516299,P-101516299
10009693160130535926,P-82761607|P-82761607,P-82761607
10009693834188757395,P-85420926|P-85420926|P-80274046,P-85420926
10009765043315595385,P-90008655|P-90008655,P-90008655
10009925907555882059,P-70975620|P-70975620,P-70975620
10009934589393936125,P-81120223|P-81120223|P-81120223,P-81120223
10010134670984731614,P-90079684|P-90079684|P-90079684,P-90079684
10010383266714939932,P-81166115|P-89253799|P-89253799,P-53553988
10010476970986843144,P-68224502|P-68224502,P-68224502
10010565320256679511,P-90528894|P-90528894,P-90528894
10010664412675782573,P-81630431|P-85626842|P-91995338,P-91995323
10010915295531856116,P-60440898|P-60440898,P-60440898
10010942212791083408,P-89101304|P-89101304|P-53563888|P-53565454|P-53565454|P-53560949|P-53560949|P-53560949|P-53560949|P-53565612|P-53565612|P-53563888|P-89101455|P-89101304|P-53565612|P-53565454,P-89101304
10011040978626456977,P-89106226|P-89106226|P-89106226|P-80118703,P-89106226
10011089250209071512,P-61983454|P-79127023|P-61983454,P-53564820
10011098287591139440,P-89779178|P-93507788|P-94240972|P-95909230|P-95909230|P-95956893|P-53562464|P-88909882|P-89478290|P-89478290|P-89454721|P-89454721|P-89478290|P-89478290|P-53567779|P-53567779|P-53567779|P-53567779|P-89300721|P-89300721|P-109155971,P-89304547
10011256492565189368,P-53561216|P-53562802,P-89138050
10011259707417702857,P-89454721|P-89454721,P-89454721
10011289956613858169,P-95909230|P-95909230|P-95909230|P-95909230,P-95909230
10011294248511073466,P-53566259|P-53566259,P-53566259
10011376661598816760,P-60440636|P-60440636|P-60440636|P-60440636,P-60440636
10011430988059396284,P-96312629|P-96312629,P-96312629
10011652203950196146,P-53552724|P-53552724|P-53552724|P-53552724|P-53552730|P-53552730|P-53552727|P-53552727|P-53552727|P-53552727|P-53552727|P-53552727|P-53552724|P-53552724,P-53552724
1001194176121684603,P-90019989|P-90019989,P-90019989
10011973098084303734,P-95909185|P-95909185|P-95909185|P-95909185,P-95909185
1001213162551826792,P-89454721|P-89454721,P-89454721
10012160772257364933,P-68224545|P-68224545,P-68224545
10012249848177241403,P-73570117|P-73570117|P-89138070,P-89138070
1001226831094753070,P-89992185|P-89992185|P-89992176,P-89992176
10012336560651685547,P-89790840|P-89790840|P-89790840,P-89790840
1001235597678843441,P-89791502|P-89791502|P-89791502|P-89791502,P-89791502
10012432099841553231,P-93485391|P-93485391,P-93485391
10012674489059199999,P-89779108|P-89779108,P-89779108
1001280284857139243,P-70967754|P-70967754|P-70967754|P-70967754,P-70967754
10012844045096235139,P-68658890|P-68658890,P-68658890
10012905212607909795,P-89527675|P-89527675|P-89527675|P-82761607,P-89527675
1001315903125728487,P-60440630|P-60440630|P-60440630|P-92054743|P-92054743,P-92054743
10013272297798433622,P-96060278|P-96060278|P-96060278|P-96060278|P-96060278|P-96312624|P-96060278|P-96060278|P-96060278|P-96060278|P-96060278|P-96060278|P-96060278|P-70339438,P-96060278
10013356170584240118,P-89790840|P-89790840|P-89790840,P-53552727
10013524496705477782,P-89259206|P-89259206,P-89259206
10013561818600787536,P-89478801|P-89478801,P-89478801
10013621402535686064,P-79474128|P-79474128,P-79474128
1001363981557176156,P-53564274|P-53564274,P-53564274
10013795924970563256,P-87039985|P-87039985,P-87039985
10013879637511740172,P-79474128|P-79474128|P-79474128,P-79474128
10013919026128050106,P-101460602|P-101460602|P-87986304|P-87986304|P-53562518,P-53562518
10014001883903390859,P-89545670|P-89545670,P-89494289
10014195693055828467,P-90019920|P-90019920|P-90019920|P-90019920|P-90019920|P-90019920,P-90019920
10014227874764257721,P-73570117|P-73570117,P-89137991
10014321895846265939,P-92682952|P-93507788,P-93431865
10014331239486318236,P-72659766|P-72659766,P-72659766
10014361581555814295,P-93595010|P-93595010,P-93595010
10014396072558746578,P-61983503|P-61983503|P-53554326|P-81166012|P-53562739|P-53562739|P-53554074|P-53554074|P-53562843|P-53562843|P-53554074|P-53562843|P-61983503,P-53562739
1001457979110684704,P-53552338|P-85674743|P-94245082,P-53562812
10014609408323780877,P-86846411|P-86846411,P-85712799
10014633285304077405,P-90262537|P-90262537|P-90262537,P-90262537
10014635366256590767,P-85291316|P-85291721|P-85291721|P-85291721|P-60191209|P-60191212|P-79367471|P-79367529,P-79367529
1001471710015403327,P-53563383|P-53563383|P-53563383|P-53563383|P-53563383|P-53563383|P-53563383|P-53563383|P-53563383|P-53563383|P-53563383|P-53563383|P-90700111,P-53563383
10014743514590077777,P-79414184|P-89786932|P-53565488|P-81120223|P-81120223|P-53564165,P-80166284
10014755945478087053,P-53552724|P-53552724|P-53552724|P-53552724,P-53552724
100149329660362119,P-53563833|P-53563833|P-53563642|P-82916790|P-82916790|P-82916409|P-82916350|P-83672272|P-82916830|P-80273636|P-80273636|P-80273636|P-92585670|P-92585670|P-92585670|P-53563833|P-53563833,P-80273636
10015014127493260239,P-68658873|P-68658873|P-68658873|P-68658873|P-68658873,P-68658873
10015150025235116797,P-84124634|P-84124634|P-84124634,P-84124634
10015345426987485467,P-89101304|P-89101304|P-89101304,P-89101100
10015387629481831256,P-90262537|P-90262537|P-90262537|P-90262537|P-90262537|P-90262537,P-90262537
10015502793418348395,P-91897631|P-91897631|P-91897631|P-95886449,P-95886449
1001552978657435876,P-60440630|P-60440630,P-60440630
10015602958466870749,P-60022361|P-53560890|P-53566782|P-53566782|P-53566782|P-81957418|P-81957418|P-81957418|P-85340660|P-53556934|P-53556934|P-53567258|P-60022361|P-53556934|P-85604756|P-85604756|P-53559739|P-86824640|P-86824640|P-86824640|P-53566782|P-53566782|P-53566782|P-60440891|P-60440891|P-64464288|P-64464288|P-64464288|P-90515250|P-53559745|P-53559745|P-92713516,P-92713516
1001569220808585226,P-53552333|P-53552333|P-53552333|P-53561488|P-53561495|P-73816121|P-73816121|P-89137991|P-89138050,P-53564557
10015884067036901816,P-89876472|P-89876472,P-90245659
10015968750341569706,P-64335080|P-64335080,P-64335080
10015985397619696159,P-91896702|P-91896702,P-91896702
10016050959392446930,P-89495519|P-89495519|P-89495519,P-89495519
10016065888565732198,P-89478801|P-89478801|P-89478801|P-86791263|P-86812476|P-53562056|P-89478801|P-89478801|P-89478801|P-68224589|P-86791214|P-86791263,P-89478801
10016068080119815102,P-68224658|P-68224658,P-68224658
10016316028118771780,P-81306396|P-81306396,P-81306396
10016324369503201669,P-53557691|P-53557691|P-53557691|P-53557691|P-53557691|P-53557691|P-53557691,P-53557691
10016378620600329942,P-100341518|P-100341518,P-100341518
10016439258991055894,P-82728052|P-93430769,P-53563608
1001647354518874334,P-90682918|P-90682918,P-90682918
1001654903292228092,P-53564571|P-53564571|P-53564571,P-53564571
10016650643523066076,P-60440287|P-60440287,P-60440287
1001668116835026685,P-60440653|P-60440653|P-60440630|P-60440630|P-60440630|P-60440630|P-79314356,P-79314356
10016686780294799158,P-85998895|P-85998895|P-90120904|P-90120903|P-85875534|P-85880120|P-53557156|P-85827850,P-53557152
10016750858034832410,P-104113700|P-71320800|P-71320800|P-71320800,P-71320800
10016765984584320587,P-96060256|P-96060256,P-96060256
10016923208976960870,P-95956124|P-95956124|P-95956124|P-95956124,P-95956124
10016949000577141979,P-63447708|P-63447708,P-63447708
10016964797881040600,P-85767099|P-89786157|P-89786157|P-53563456|P-53563456|P-72870166,P-53562586
10017179907845644450,P-60440649|P-60440649,P-60440649
10017193476974808925,P-68224632|P-68224632,P-68224632
10017307592557598245,P-89478037|P-53565303|P-53565303|P-89276708,P-88905951
10017321412650936889,P-89478168|P-89478168|P-89478168,P-93485513
100174527452009521,P-86158759|P-86158759|P-86158759|P-86158759|P-86158759|P-86158759|P-86158759|P-86158759|P-86158759|P-86221280|P-86221280|P-68658870|P-68658870,P-89629368
10017461425728314209,P-101204237|P-101204237|P-101204237|P-93592056|P-77380825|P-93592056|P-93592056|P-93592056|P-93592056|P-93592056|P-93592056|P-93592056|P-93592056|P-93592056|P-93592056|P-93592056,P-93592056
10017618796507142402,P-82361602|P-82361602,P-82361602
10017763428269607639,P-62606620|P-62606620|P-62606620,P-62606620
10017804574347517943,P-89123235|P-89123235,P-89123235
1001788642767528569,P-85626842|P-89100510|P-92818666|P-85626842|P-90542161|P-90542160|P-89320625|P-89320625|P-53558268|P-90683043|P-78665171|P-89123398|P-89123235|P-90542160|P-89320625|P-53558268|P-90542161|P-90542161|P-85626842|P-90542161|P-53558268|P-90683044|P-53562078|P-60440702|P-89123235|P-89123235|P-89123138|P-89123138|P-60440742|P-89123235|P-89123235|P-89123138|P-89123235|P-85626842|P-89123138|P-89123235|P-89123235|P-89123138|P-89123235|P-89123235|P-89123235,P-53565443
1001806509028988877,P-85677208|P-85677208,P-85677208
10018067555652342003,P-68224691|P-90143131|P-68224691|P-90143131,P-68224691
10018117609221117462,P-87591151|P-53562806,P-87591151
10018165172770419703,P-68224490|P-91994100|P-89779188|P-59289286|P-90143142|P-90143142|P-53560393,P-53560393
10018211291961310029,P-89478801|P-89478801|P-89478801|P-89478801,P-89478801
10018507175117596249,P-89314082|P-89314082|P-89314082|P-89314082|P-89314082,P-89314082
10018603608431815162,P-53561510|P-53564509|P-68224490|P-68224490|P-68224547|P-68224490|P-68224490|P-68224547|P-89790831,P-53564031
10018701113067946098,P-60440630|P-60440630,P-60440630
10018817775661473933,P-89992147|P-89992147,P-89992147
10018866288822791349,P-53552338|P-53552338,P-53552338
10019041760191528473,P-89232599|P-89232599,P-89232599
10019114990239367079,P-93595010|P-53566286|P-53556889|P-53564327|P-53561351,P-95297642
10019139037739006664,P-53557691|P-53557691|P-53557691|P-60440630,P-70973641
10019183497249702041,P-89454882|P-53561164|P-89174859|P-89174843,P-89478801
10019275100605905085,P-89454882|P-89454882|P-89454882,P-89454882
10019513069181102963,P-53557691|P-53557691|P-53557691,P-53557691
10019635710162411876,P-68224671|P-59289286|P-59289286|P-59289286|P-59289286|P-59289286|P-59289286|P-59289286|P-59289286|P-59289286,P-59289286
10019773285965702224,P-86840309|P-86840309|P-86840309|P-89045330|P-89045330|P-86840309|P-86840309|P-86840309|P-89045330|P-89045330,P-89045330
10019778373035540756,P-53566259|P-53566259|P-53566259|P-53566259|P-53566259|P-53566259|P-81120223,P-81114706
10019885432671690946,P-89454721|P-89454721|P-89454721|P-89454721|P-81616976|P-81616976,P-81616976
10020173162895037406,P-90391939|P-90391939|P-90391939|P-90391939|P-90391939,P-90391939
10020195035023763942,P-53567174|P-64520020,P-94543188
10020377883035804501,P-68224485|P-68224485,P-68224485
10020568577353645357,P-53560652|P-53560652,P-53560652
10020686945753782621,P-93431950|P-92647069|P-86836267,P-86836267
10020769095549037548,P-89478168|P-89478168,P-89478168
10020776004306721618,P-60440630|P-60440630,P-60440630
10020988216106478210,P-90018447|P-90018447|P-59289286|P-59289286|P-59289286|P-59289286|P-59289286|P-59289286|P-59289286|P-59289286|P-59289286|P-59289286|P-59289286|P-59289286|P-59289286|P-59289286,P-59289286
10021017723828412029,P-81165848|P-81165848|P-84169708,P-84169708
10021074968729002467,P-53559909|P-53559909|P-53559909|P-53559909|P-53560169,P-53559909
10021174750464486290,P-68224589|P-68224632|P-68224632|P-68224632,P-68224632
10021250157530035014,P-89779108|P-89779108,P-89779108
10021319042783322548,P-70973641|P-70973641|P-70975620|P-70975620,P-89138077
1002132120381574708,P-81165848|P-81165848|P-70967754|P-89478801|P-86450006|P-89454721|P-89478801|P-89478801|P-89478801|P-89478801|P-89478801|P-89454721,P-89454721
10021344027299079570,P-90079684|P-90079684|P-90079684,P-90079684
10021361692447059944,P-53561488|P-53561480|P-53561500,P-53552333
10021428035582761724,P-85677208|P-85677208|P-85677208|P-85677208|P-85677208,P-85677208
10021446528578317633,P-73570117|P-73570117,P-73570117
10021457611550109325,P-89123235|P-89123235,P-89123235
10021509312193144745,P-59390033|P-59390033|P-59390033|P-81922460|P-81922460|P-72817268|P-72817268|P-59390033|P-81922460|P-81922460|P-59390033|P-81922460|P-81922460,P-81922460
10021640214986881227,P-93485391|P-93485391,P-93485391
10021648520430304,P-89320668|P-89123556,P-89123556
10021661522995092849,P-68224740|P-68224740|P-68224740,P-68224740
10021705345024870599,P-89369487|P-60440661|P-79316732|P-53563023|P-53564153|P-53564517|P-53564523|P-53564537|P-53564537|P-89369487|P-81473671|P-81473671|P-71342657|P-84170296|P-89786815|P-89786815|P-94242934|P-93507788|P-85674491|P-72389925|P-53563894|P-89454882,P-53564889
10021739648955170484,P-92984964|P-92984964|P-92984964|P-92984920|P-92984920,P-92984920
10021765662182367506,P-68224632|P-68224632,P-68224632
10021853343134311084,P-89478168|P-89478168,P-89478168
10021907210961797803,P-102149486|P-102149486|P-85401728|P-85401728|P-85401728|P-85401728,P-85401728
1002196467028748485,P-92984920|P-92984920|P-92984920|P-92984920|P-92984920|P-92984920|P-92984920|P-92984920|P-92984920|P-92984920|P-92984920|P-87880264|P-92984920|P-92984920|P-92984920|P-89247968,P-89247968
10021993327717536974,P-96312629|P-96312629,P-96312629
10022009500855561951,P-83923904|P-83923904,P-92021301
10022019369508400983,P-101513994|P-101513994|P-101513994|P-101513994|P-101513994|P-101513994,P-101513994
10022225328999778985,P-68224490|P-68224502,P-68224502
100222450606535879,P-80303111|P-80303111,P-80303111
1002227935781026073,P-53552724|P-53552724|P-53552724,P-53552724
10022289171039462373,P-70975620|P-70975620|P-70975620|P-70975620|P-70975620,P-70975620
10022344923621890653,P-70967754|P-70967754|P-70967754,P-86450006
10022428117505899797,P-89992147|P-89992147,P-89992147
10022625123175910367,P-89454721|P-89454721,P-89454721
10022644959678200663,P-93485417|P-93485417,P-93485417
10022693779440194440,P-86637770|P-86637770,P-86637770
10022713135913045858,P-53562973|P-53564628|P-60440287|P-60440287|P-60440287|P-53562953|P-53563046|P-53564599|P-53564599|P-79164047|P-53563218|P-53562908|P-60440448|P-53563110,P-53562959
10022760046898800053,P-89454882|P-89454882,P-89454882
10022875894977085510,P-93485440|P-93485440,P-93485440
1002288324719506567,P-89454721|P-89454721,P-89454721
1002304162487224379,P-89138077|P-89138077|P-89138077|P-89138077,P-89138077
10023063813229946229,P-68658890|P-68658890,P-68658890
10023072974156631209,P-93595010|P-93595010,P-93595010
10023167459827967941,P-53560169|P-53560169|P-53560169,P-53560169
10023245174284458827,P-68224740|P-68224740|P-68224740,P-68224740
10023268448710715604,P-93485417|P-93485417,P-93485417
10023352571368566311,P-94241688|P-94241688|P-94241688,P-86887706
10023439911181403583,P-87895858|P-87895816|P-87895816|P-87895816|P-87895858|P-87895858|P-87895858|P-87880307,P-87880307
10023454984325324183,P-95909185|P-95909185|P-95909185|P-101162565,P-101162565
1002348013934519125,P-70967754|P-70967754,P-70967754
10023524264766512886,P-77364716|P-77364716|P-77364716|P-77364716,P-77364716
10023738252455477207,P-70973641|P-70973641|P-70973641,P-70973641
10023812152971189006,P-89478168|P-89478168|P-89478168|P-89478168|P-89478168,P-89478168
10023900597337726580,P-85382975|P-53563296|P-53563296,P-85382975
10024014967712055272,P-89300721|P-89300721|P-89300721,P-89300721
10024025047131741666,P-60440630|P-60440630|P-60440630|P-60440630,P-60440630
1002405323783676719,P-89247968|P-89247968,P-89247968
10024153384023893987,P-70967430|P-70967430,P-85571086
10024159626744486288,P-79500657|P-79500657,P-79500657
1002424163701107141,P-89478801|P-89478801,P-89478801
10024321655974346624,P-81224191|P-81224191|P-81224154|P-81224154|P-53559096|P-81224191,P-81224191
1002453728762361463,P-59883866|P-59883866|P-59883866|P-59883866,P-59883866
10024539891777042476,P-90017928|P-90017928,P-90017928
10024568569427915555,P-53565160|P-53565160|P-53565160|P-53565160|P-53565160|P-53565160|P-101519028|P-101519028|P-83697749|P-101513994,P-101513994
10024576966971105471,P-79497298|P-61983441,P-61983441
10024621122205368780,P-89011173|P-89011173|P-89011173|P-89011173|P-85291721|P-85291721|P-85291316,P-85291316
10024732386895091518,P-90543849|P-90543849,P-90543849
10024864731363297589,P-53565458|P-53565458|P-53565458|P-82728052|P-61983421|P-61983421|P-53563223|P-53563207|P-93430769|P-53563207|P-53563223|P-53563214|P-53563223|P-53563223,P-53563223
10024902358751384556,P-89478801|P-89478801|P-89478801|P-89478801,P-89478801
1002513109425621380,P-89494289|P-89494289,P-89494289
10025159378791073428,P-96312625|P-96312625|P-96312625|P-96312625|P-85420926|P-85420926,P-85420926
10025182208024064913,P-53562796|P-53562796,P-53562796
10025213630119940606,P-95886452|P-95886452|P-95886452,P-95886452
10025240655764633684,P-90305609|P-90305609|P-90305609|P-90305609,P-90305609
10025323367574666666,P-87028713|P-81630431|P-87028805|P-81618508,P-81618508
10025403473792596832,P-90275645|P-90275645|P-90275645|P-90275645,P-90275645
10025448651026646231,P-86905432|P-86905432,P-86905432
10025828937554076052,P-89123117|P-89123117,P-89123235
10025886633351968085,P-53557914|P-53557914|P-53559096|P-53559096|P-53557914|P-53557914|P-53557914|P-53557914|P-53559096|P-53557914,P-53557914
10026078164848041836,P-59391290|P-59391290|P-59391290|P-59391290,P-59391290
10026088830857615993,P-89101304|P-93481748|P-53561480|P-53561480,P-53561480
10026226609705381512,P-53564529|P-53564529,P-53564551
10026285976236258124,P-89454882|P-89454882,P-89454882
10026346050075432267,P-89454882|P-89454882|P-89454882|P-89454882|P-86791214,P-86812476
10026464110931762692,P-77323303|P-77323303,P-77323303
1002651127970672828,P-53553714|P-53553714,P-53553714
10026585362422359981,P-89791433|P-89791259|P-53558096,P-53558096
10026650999634841751,P-90389623|P-89791382,P-53561517
10026970727272489299,P-92984920|P-92984920,P-92984920
10027048641915922151,P-95621703|P-95621703|P-53560169|P-53557755,P-87788242
10027071655553028767,P-89786815|P-89786815,P-53556359
10027126482967462374,P-72238515|P-72238515,P-72238515
1002713358613408827,P-70339446|P-61983448,P-70339446
1002720222477383309,P-90245659|P-90245659|P-90245659,P-90245659
10027219040763608857,P-93485391|P-93485391,P-93485391
10027240051788096917,P-93485417|P-93485417,P-93485417
10027246158064927007,P-68658885|P-68658885|P-68658885|P-90243231|P-90243231,P-90243231
10027370088447736652,P-59167513|P-59167513|P-59167513,P-59167513
10027424722801762573,P-60440630|P-60440630,P-60440630
10027538383090330425,P-60440805|P-60440802,P-60440802
10027579361193888437,P-86417474|P-86417474|P-86417474,P-86417474
10027670150295837110,P-89308136|P-89454721|P-89454721,P-89454721
10027675261160438626,P-61983429|P-61983429,P-61983429
10027677352557205853,P-90534639|P-90543849|P-90543849|P-90543849|P-90543849,P-90534639
10027690081291688817,P-77364716|P-77364716|P-77364716|P-77364716|P-77364716|P-77364716|P-77364716|P-77364716|P-77364716,P-77364716
10027761199477070898,P-82916325|P-82916325|P-82916325,P-82916325
